
No.17 White House,據說是中央唯一驕傲的網美店（？ 主要賣義大利麵，每個月17號會有特價，可以不額外花錢升級套餐，包飲料和甜點。每天都有很多人在排隊卡位，不夠早會吃不到，每天餐點也是限量的，適合想嘗試中央天花板的你？
鴻樂,拌麵類真的超棒，加麵不用錢（私心推薦胡麻拌麵。湯麵類也不錯，內用紅茶我覺得是後門一帶最好喝的。
吉米熊,飲料一定要給他點個套餐免費加大的啦！而且每日跟每週的特餐都不錯，早午餐的好選擇，不過店家人手不足可能會有點慢，如果經過看到沒人就趕快進去吧！
Sidewalk 人行道蔬食,店面看起來滿精緻的，是蛋奶素的餐廳！價位比較高，假日常常客滿。品項很多，除了主食之外也會有一些當日小菜，像是拔絲地瓜、梅漬番茄～
竹香快餐,餐廳常常爆滿人，中午要內用的話要快。價格方面1主餐加4菜大約7、80元上下，便宜又好吃，而且出餐速度極快，想省時間又想吃飽的同學們可以來這裡吃看看喔！
街角216,CP值超高的漢堡店，套餐很划算，內用飲料續杯不用錢！推薦花生起司牛肉堡，套餐內容「薯條>>>雞塊」，這間店的薯條蠻好吃的。
熱浪島,入口在一個很難被發現的地方！不妨去冒險一下，是說星期四公休，不要挑這一天。熱浪島主要是賣南洋風味的食物，而且是一家高價位的素食店，每一個套餐大概是300元左右，可以當作犒賞自己的禮物XD
阿米玲,中央的平價日式定食餐廳，價位150以上，內用可以加生菜和加湯無限制，也有免費小菜可以開胃。推薦照燒雞腿
熟檸檬食肆,目前剛由畢業的學長姐接手店面，主要是飯類的，口味蠻清爽，內容有：主菜、馬鈴薯、杏鮑菇、高麗菜、飯，推薦鎮店招牌第戎豬。整體價格偏高，但是非常好吃。適合覺得午餐吃得很爛，晚餐想慰勞自己的你！
雙醬咖哩,中央眾多咖哩店之一，以雙醬（日式咖哩醬及奶油白醬）為本店特色，餐點大部分是咖哩飯配上一種炸物，醬和白飯都可以無限續喔！也有美味的蓋飯及炒麵喔！
樂活堡,作為中央最受歡迎的早餐店之一，常常需要候位才能吃得到，餐點健康好吃不油膩，超受大家歡迎！ 想吃早午餐的，推薦他們家的拼盤，不用100元就能吃到多樣化的餐點～ （不想等太久記得先打電話預訂喔～）
歐姆萊思,份量大，可以免費加飯，適合食量大的同學～推薦蛋包飯，蛋很嫩，是屬於微辣的咖哩，但想吃動作要快，常常一到吃飯時間就客滿！
美式早餐屋,什麼都有，什麼都賣。不管你今天想吃台式、西式、日式、法式、美式，哪一種的早餐，來美式早餐屋就對了！
達啵廚房,中央附近不錯的美式餐廳，店內的套餐價格不會太高，平時也可以來享用。缺點是位置沒有很多，若是在用餐尖峰時間來可能要稍微等一下座位。
家香美食店,價位落在45～60元，是超級便宜的麵店，牛肉麵甚至只要60元。分量吃得飽，不過因為非常便宜，所以附的肉片很薄，但是這個價位，有菜有肉有麵已經無可挑剔了。
香米便當,跟校內的香米是同一家，不過各自有廚房，相較於其他餐廳人比較少，如果不夾主菜，只夾三個菜可以控制在40～60元，是經濟實惠的選擇。
馬爾波咖啡,紅茶是南部人的最愛（有糖的），青醬跟紅醬的義大利麵都蠻好吃的，湯跟飲料都可以續，價錢一百出頭，可以來吃吃看。
重慶酸辣粉,"肉跟麵的種類可以自由選擇搭配，酸度跟辣度也可以自己選，所以就算不喜歡酸辣的口味也可以吃。
然後內用的冬瓜茶很甜，吃完辣喝起來很舒爽。中辣到大辣會有跳級的感覺，想點的時候注意一下。"
Daddy's,約聚餐的好去處，雖然套餐價格在中央偏高，但環境優美、安靜，而且飲料可以一直一直續，用餐人數不多，不太需要等，也可以在那邊坐一些時間，不太會趕人，知道茶會、聯誼要去哪裡辦了吧？
麥當勞,"呱呱，虧你找得到，這是中央人聚會的新景點，不管是吃個優雅的美式早餐，或在系隊練球後大口大口的吃雙層牛肉堡，麥當勞都會是你很好的選擇！不過唯一的缺點就是離學校有一點小遠，建議騎腳踏車前往。"
